# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
xiu fu 	修復	c=1 d=0.633795 t=2349
xiu gai 	修改	c=29 d=3.91823 t=5787
xiu gai cheng 	修改成	c=2 d=1.00003 t=2174
xiu gai le 	修改了	c=2 d=1.83946 t=79
xiu gai yi xia 	修改以下	c=1 d=1 t=1945
xiu guo 	修過	c=0 d=0.1 t=4151
xiu guo qu 	修過去	c=1 d=1 t=4152
xiu hao 	修好	c=0 d=0.1 t=606
xiu hao le 	修好了	c=1 d=1 t=1354
xiu le ge 	修了個	c=1 d=1 t=627
xiu le ma 	修了嗎	c=1 d=1 t=3036
xiu xi ba 	休息吧	c=1 d=1 t=5817
xiu yi xia 	修一下	c=1 d=1 t=6017
xu 	續	c=1 d=1 t=6270
xu 	需	c=1 d=1 t=5275
xu bu xu yao 	需不需要	c=1 d=1 t=2585
xu ke zheng 	許可證	c=1 d=1 t=1226
xu lie 	序列	c=1 d=1 t=1707
xu ni ji 	虛擬機	c=3 d=1 t=6415
xu qiu 	需求	c=6 d=1 t=4239
xu xian 	虛線	c=1 d=0.890571 t=3002
xu xian na bian 	虛線那邊	c=1 d=1 t=3003
xu yao 	需要	c=27 d=2.05641 t=6238
xu yao de 	需要的	c=2 d=1.00641 t=4746
xu yao yong 	需要用	c=1 d=1 t=164
xu yao zai 	需要在	c=1 d=1 t=1491
xu yao zhu yi 	需要注意	c=1 d=1 t=4553
xuan 	宣	c=0 d=0.199005 t=5838
xuan 	選	c=5 d=1.99334 t=5528
xuan bin duo zhu 	喧宾夺主	c=1 d=1 t=4744
xuan bu xuan 	宣不宣	c=1 d=1 t=5837
xuan ran 	渲染	c=5 d=1.00003 t=4919
xuan ting 	懸停	c=1 d=1 t=4380
xuan xiang 	選項	c=10 d=1.59343 t=5684
xuan xiang de 	選項的	c=1 d=1 t=396
xuan ze 	選擇	c=7 d=0.100007 t=5515
xuan ze kuang nei 	選擇框內	c=1 d=1 t=2393
xuan zhong 	選中	c=2 d=1.06561 t=2822
xuan zhong le 	選中了	c=1 d=1 t=2823
xuan zhuan 	旋轉	c=4 d=3.05815 t=5637
xue 	學	c=0 d=0.1 t=5326
xue le 	學了	c=0 d=0.1 t=5427
xue li 	學歷	c=0 d=0.1 t=2045
xue sheng 	學生	c=1 d=1 t=2061
xue shi 	學時	c=1 d=1 t=2060
xue yi xia 	學一下	c=1 d=1 t=5327
xun huan 	循環	c=3 d=2.84644 t=4937
xun huan yi lai 	循環依賴	c=1 d=1 t=3684
xun qiu 	尋求	c=1 d=1 t=6234
xun wen 	詢問	c=1 d=1 t=6260
ya 	呀	c=18 d=2.0209 t=6071
ya chi 	牙齒	c=2 d=1.82696 t=6196
ya gen 	牙根	c=0 d=0.1 t=3733
ya li 	壓力	c=1 d=1 t=3077
ya suo 	壓縮	c=0 d=0.1 t=196
ya suo ti jiao 	壓縮提交	c=1 d=1 t=197
ya tao 	牙套	c=1 d=1 t=6049
ya yin 	牙齦	c=1 d=1 t=6122
yan chi 	延遲	c=1 d=1 t=3497
yan jiu 	研究	c=1 d=1.00008 t=6322
yan kan 	眼看	c=1 d=1 t=5659
yan se 	顏色	c=27 d=13.1088 t=5588
yan zheng 	驗證	c=1 d=1 t=4405
yang 	樣	c=2 d=1.1054 t=3273
yang shi 	樣式	c=10 d=1.15186 t=5627
yao 	幺	c=0 d=0.1 t=4390
yao 	要	c=16 d=1.35642 t=6099
yao ban guo lai 	要搬過來	c=1 d=1 t=1619
yao bu 	要不	c=2 d=0.421422 t=5467
yao bu yao 	要不要	c=0 d=0.1 t=6108
yao bu yao qu 	要不要去	c=1 d=1 t=6109
yao dai 	要帶	c=1 d=1 t=6086
yao de 	要得	c=1 d=1 t=5323
yao de 	要的	c=2 d=1.00883 t=6274
yao deng 	要等	c=2 d=1.93707 t=5228
yao e zi 	幺蛾子	c=1 d=1 t=4391
yao fang de 	要放的	c=1 d=1 t=4268
yao gai 	要改	c=1 d=1 t=5709
yao gai de 	要改的	c=1 d=1 t=1964
yao gan shang 	要趕上	c=1 d=1 t=5410
yao ge 	要個	c=1 d=1 t=3621
yao gei 	要給	c=1 d=1.00001 t=3348
yao huang 	要黃	c=1 d=1 t=2479
yao jia 	姚家	c=1 d=1 t=914
yao jia 	要加	c=4 d=1.00007 t=5424
yao jin chi 	要矜持	c=1 d=1 t=5845
yao kai shi 	要開始	c=1 d=1 t=5886
yao liang de hua 	要涼的話	c=1 d=1 t=1755
yao mai 	要買	c=0 d=0.1 t=4685
yao mai che 	要買車	c=1 d=1 t=4686
yao me 	要麼	c=4 d=1.4977 t=3473
yao qiang 	要強	c=1 d=1 t=3105
yao qiu 	要求	c=5 d=1.69422 t=4604
yao qu 	要去	c=1 d=1 t=2972
yao shi 	要是	c=2 d=1.04736 t=5336
yao ta men 	要他們	c=1 d=1 t=4006
yao wan dan le 	要完蛋了	c=1 d=1 t=4180
yao xie 	要寫	c=1 d=1 t=1058
yao yao yu zhui 	摇摇欲坠	c=0 d=0.1 t=601
yao yao yu zhui le 	摇摇欲坠了	c=1 d=1 t=602
yao yong 	要用	c=0 d=0.1 t=688
yao yong de 	要用的	c=1 d=1 t=689
yao you 	要有	c=1 d=1 t=6087
yao zen me 	要怎麼	c=1 d=1 t=513
yao zhan shi 	要展示	c=1 d=1 t=1968
yao zhao 	要找	c=0 d=0.1 t=4299
yao zhao ni 	要找你	c=1 d=1 t=4300
yao zhe me xie de 	要這麼寫的	c=1 d=1 t=32
yao zou 	要走	c=2 d=1 t=5939
yao zuo 	要做	c=1 d=1 t=3175
ye 	也	c=16 d=2.13697 t=5953
ye bei 	也被	c=1 d=1 t=86
ye bu 	也不	c=0 d=0.100001 t=6214
ye bu di le 	也不低了	c=1 d=1 t=6215
ye bu duo 	也不多	c=2 d=1.20701 t=3381
ye bu hao 	也不好	c=2 d=1 t=6124
ye bu ke neng 	也不可能	c=1 d=1 t=6038
ye bu neng 	也不能	c=2 d=1.01083 t=4145
ye bu quan shi 	也不全是	c=1 d=1 t=3168
ye bu tai hao suan 	也不太好算	c=1 d=1 t=3886
ye bu xing 	也不行	c=2 d=1 t=4910
ye bu xu yao 	也不需要	c=1 d=1 t=3847
ye bu zhi dao 	也不知道	c=5 d=1.45522 t=5995
ye bu zhong yao 	也不重要	c=1 d=1 t=1898
ye cai 	也才	c=1 d=1 t=6058
ye cong 	也從	c=1 d=1 t=2857
ye dui 	也對	c=2 d=1.88692 t=6128
ye gai le 	也改了	c=1 d=1 t=507
ye hai 	也還	c=0 d=0.1 t=3845
ye hai mei jin 	也還沒進	c=1 d=1 t=3846
ye hua le 	也花了	c=1 d=1 t=5926
ye hui 	也會	c=2 d=1 t=3782
ye jia shang 	也加上	c=1 d=1 t=4864
ye jiu 	也就	c=2 d=1 t=4988
ye jiu shi 	也就是	c=1 d=1 t=2144
ye jue de 	也覺得	c=1 d=1 t=88
ye kan 	也看	c=1 d=1 t=1110
ye ke neng 	也可能	c=2 d=1.99501 t=6183
ye ke yi 	也可以	c=4 d=1 t=4724
ye ke yi ba 	也可以吧	c=1 d=1 t=4245
ye lai bu ji le 	也來不及了	c=1 d=1 t=818
ye mei 	也沒	c=2 d=0.11406 t=6002
ye mei bi yao 	也沒必要	c=1 d=1 t=4304
ye mei duo shao 	也沒多少	c=1 d=1 t=3950
ye mei ju ti shuo 	也沒具體說	c=1 d=1 t=1885
ye mei ren 	也沒人	c=0 d=0.1 t=5333
ye mei ren cui 	也沒人催	c=1 d=1 t=5334
ye mei sha 	也沒啥	c=1 d=1 t=5836
ye mei shen me 	也沒什麼	c=1 d=1 t=6077
ye mei yong 	也沒用	c=1 d=1 t=4106
ye mei you 	也沒有	c=1 d=1 t=1523
ye mei you wo 	也沒有我	c=1 d=1 t=4795
ye mian 	頁面	c=2 d=1.00009 t=3553
ye que shi 	也確實	c=1 d=1 t=134
ye shi 	也是	c=10 d=1.96039 t=6279
ye shi yi ge 	也是一個	c=1 d=1 t=522
ye ting 	也挺	c=1 d=1 t=6279
ye xiang tong 	也相同	c=1 d=1 t=2560
ye xing 	也行	c=0 d=0.1 t=5986
ye xing ba 	也行吧	c=1 d=1 t=5987
ye xu yao 	也許要	c=3 d=1 t=5271
ye xu yao 	也需要	c=1 d=1 t=5695
ye yao 	也要	c=0 d=0.1 t=5219
ye yao jia 	也要加	c=1 d=1 t=1575
ye you 	业有	c=1 d=1 t=2438
ye you 	也有	c=1 d=0.100156 t=4004
ye you ke neng 	也有可能	c=1 d=1 t=1760
ye you yi ge 	也有一個	c=1 d=1 t=4005
ye zai 	也在	c=1 d=0.291092 t=6294
ye zai lian 	也在練	c=1 d=1 t=6295
ye zhi shi 	也只是	c=1 d=1 t=6133
ye zi 	葉子	c=2 d=2.08119 t=103
ye zi jie dian 	葉子結點	c=1 d=1 t=96
ye zou yi bian 	也走一遍	c=2 d=1.98511 t=793
yi 	一	c=2 d=1.00001 t=4642
yi 	以	c=6 d=1.00257 t=5979
yi 	已	c=0 d=0.1 t=3624
yi 	衣	c=0 d=0.1 t=3581
yi ban 	一般	c=7 d=1.06588 t=6243
yi bian 	一遍	c=2 d=1.03103 t=4713
yi bu 	一步	c=0 d=0.1 t=360
yi bu 	異步	c=1 d=1 t=4853
yi bu fen 	一部分	c=2 d=1.00012 t=3557
yi bu tong de 	一步童得	c=1 d=1 t=361
yi ceng 	一層	c=2 d=1.04516 t=2575
yi chang 	異常	c=0 d=0.1 t=5254
yi cheng gong 	已成功	c=1 d=1 t=3339
yi chu 	移出	c=1 d=1 t=2219
yi chu 	移除	c=5 d=1.00956 t=5786
yi ci 	一次	c=7 d=1.25709 t=5697
yi ci xing 	一次性	c=0 d=0.1 t=2293
yi cun zai 	已存在	c=1 d=1 t=3625
yi da dui 	一大堆	c=1 d=1 t=3650
yi dan 	一旦	c=1 d=1 t=4128
yi dao 	移到	c=1 d=1 t=2850
yi dian 	一點	c=5 d=1.0085 t=5690
yi dian dian 	一點點	c=1 d=1 t=3270
yi dian shi jian 	一點時間	c=1 d=1 t=4240
yi ding 	一定	c=1 d=0.1 t=6264
yi ding yao 	一定要	c=1 d=1 t=4544
yi dong 	移動	c=2 d=1.00878 t=5770
yi dong dao 	移動到	c=1 d=1 t=3123
yi dun fan 	一頓飯	c=1 d=1 t=6141
yi fen 	一份	c=1 d=1.09371 t=5901
yi fen zhong 	一分鐘	c=1 d=1 t=3498
yi feng 	一封	c=0 d=0.1 t=5872
yi fu 	衣服	c=1 d=0.948709 t=3635
yi fu he 	以符合	c=1 d=1 t=4327
yi fu na 	衣服拿	c=1 d=1 t=3613
yi fu pian xiao 	衣服偏小	c=1 d=1 t=3636
yi ge 	一個	c=60 d=1.55007 t=6293
yi ge ba 	一個吧	c=1 d=1 t=3849
yi ge ge 	一個個	c=1 d=1 t=4150
yi ge yue 	一個月	c=0 d=0.1 t=5617
yi hang 	一行	c=1 d=0.106671 t=5287
yi hang hou 	一行後	c=1 d=1 t=5288
yi hang ma 	一行嗎	c=1 d=1 t=2110
yi hou 	以後	c=2 d=1.00266 t=6393
yi huo 	疑惑	c=2 d=0.127438 t=5787
yi ji 	一級	c=0 d=0.1 t=5862
yi ji 	以及	c=7 d=1.00173 t=4842
yi ji yi ji 	一級一級	c=1 d=1 t=5863
yi jian 	一件	c=1 d=1.08479 t=3614
yi jian wei yi 	一件衛衣	c=1 d=1 t=3582
yi jing 	已經	c=14 d=2.59873 t=5787
yi jing chuang jian 	已經創建	c=1 d=1 t=2875
yi jing shi 	已經是	c=2 d=1 t=4612
yi jing you 	已經有	c=0 d=0.1 t=2987
yi jing you le 	已經有了	c=1 d=1 t=2988
yi jing zai 	已經在	c=0 d=0.1 t=1948
yi ju hua 	一句話	c=1 d=1 t=1896
yi kai shi 	一開始	c=1 d=1 t=5087
yi lai 	依賴	c=2 d=1 t=5917
yi liang ge 	一兩個	c=1 d=1 t=5113
yi liang liang 	一輛輛	c=1 d=1 t=4688
yi lie 	一列	c=1 d=1 t=4768
yi mai 	義賣	c=1 d=1 t=6290
yi mu yi yang 	一模一样	c=1 d=1 t=5014
yi pi 	一批	c=0 d=0.1 t=4025
yi pian 	一片	c=1 d=1 t=4102
yi qi 	一起	c=8 d=3.41781 t=6201
yi qi de 	一起的	c=1 d=1 t=1739
yi qi gai 	一起改	c=1 d=1 t=6339
yi qi yong 	一起用	c=1 d=1 t=2388
yi qing er chu 	一清二楚	c=0 d=0.1 t=4102
yi qing er chu de 	一清二楚的	c=1 d=1 t=4103
yi quan 	一圈	c=0 d=0.1 t=590
yi ran 	依然	c=1 d=1 t=353
yi shang 	以上	c=0 d=0.1 t=3908
yi shang le 	以上了	c=1 d=1 t=3909
yi sheng 	醫生	c=1 d=1 t=6097
yi si 	意思	c=3 d=1 t=4987
yi tao 	一套	c=1 d=1 t=5132
yi tian 	一天	c=3 d=1.07153 t=5920
yi tian gong 	一天工	c=1 d=1 t=5853
yi tiao 	一條	c=4 d=1.17526 t=5671
yi tiao ji lu 	一條記錄	c=1 d=1 t=1580
yi wai 	以外	c=1 d=1 t=5391
yi wai 	意外	c=2 d=1.14299 t=5779
yi wei 	以爲	c=1 d=1 t=1627
yi wei shu 	一位數	c=1 d=1 t=2444
yi xi lie 	一系列	c=1 d=1 t=3927
yi xia 	一下	c=11 d=1.02432 t=6361
yi xia 	以下	c=3 d=0.294979 t=2011
yi xiang 	一項	c=2 d=1.02448 t=2824
yi xiao shi 	一小時	c=1 d=1 t=5533
yi xiao shi nei 	一小時內	c=1 d=1 t=5551
yi xie 	一些	c=9 d=2.0743 t=6239
yi xuan ze 	已選擇	c=3 d=1.97046 t=2402
yi yan 	一眼	c=1 d=1.0049 t=4877
yi yang 	一樣	c=3 d=1.0995 t=5841
yi yang de 	一樣的	c=5 d=1 t=6059
yi yang le 	一樣了	c=1 d=1 t=6014
yi you 	已有	c=3 d=2.41344 t=2963
yi yuan 	醫院	c=5 d=3.33993 t=6258
yi zhang 	一張	c=4 d=1.00023 t=5145
yi zhang 	以杖	c=1 d=1 t=1932
yi zheng 	一整	c=0 d=0.1 t=2311
yi zheng hang 	一整行	c=1 d=1 t=2312
yi zhi 	一直	c=1 d=1 t=4154
yi zhi 	一致	c=5 d=1.02329 t=5092
yi zhi 	已知	c=1 d=1 t=3377
yi zhi de 	一致的	c=1 d=1 t=2739
yi zhi shi 	一直是	c=1 d=1 t=5293
yi zhi zai 	一直在	c=1 d=1 t=4789
yi zhong 	一種	c=1 d=0.1 t=4591
yi zhou 	一周	c=0 d=0.1 t=5559
yi zhou nei 	一週內	c=1 d=1 t=5558
yin cang 	隱藏	c=4 d=1.13354 t=2892
yin cang diao 	隱藏掉	c=1 d=0.100005 t=4919
yin cang diao le 	隱藏掉了	c=1 d=1 t=4920
yin cang qi lai 	隱藏起來	c=1 d=1 t=2222
yin ci 	因此	c=2 d=1 t=5651
yin hang 	銀行	c=1 d=1 t=6156
yin qi de 	引起的	c=1 d=1 t=6127
yin wei 	因爲	c=17 d=1.50108 t=6128
yin yong 	引用	c=1 d=1 t=5747
ying 	應	c=1 d=1 t=2921
ying gai 	應該	c=33 d=2.58551 t=6416
ying gai jiu hao le ba 	應該就好了吧	c=1 d=1 t=4952
ying gai shi 	應該是	c=13 d=1.1034 t=6013
ying gai shu yu 	應該屬於	c=1 d=1 t=4493
ying gai zen me xie 	應該怎麼寫	c=1 d=1 t=228
ying jian 	硬件	c=0 d=0.1 t=5357
ying jian xin xi 	硬件信息	c=1 d=1 t=5358
ying xiang 	影像	c=0 d=0.1 t=237
ying xiang 	影響	c=4 d=1 t=5803
ying xiang bu da 	影響不大	c=1 d=1 t=154
ying yong dao 	應用到	c=1 d=1 t=208
ying yong de 	應用的	c=1 d=1 t=4886
ying yu 	英語	c=2 d=1.00043 t=5902
yong 	用	c=17 d=1.08727 t=6359
yong bu dao 	用不到	c=1 d=1.00002 t=6407
yong bu dao de 	用不到的	c=1 d=1 t=4719
yong bu liao 	用不了	c=0 d=0.1 t=5988
yong bu liao a 	用不了啊	c=1 d=1 t=1297
yong bu liao de 	用不了的	c=1 d=1 t=5989
yong dao 	用到	c=1 d=1 t=6394
yong dao le 	用到了	c=1 d=1 t=3992
yong de 	用的	c=13 d=0.204273 t=6383
yong fa 	用法	c=1 d=1 t=5970
yong guo 	用過	c=1 d=1.00001 t=6070
yong guo qu 	用過去	c=1 d=1 t=4151
yong hu 	用戶	c=6 d=1.01738 t=5879
yong lai 	用來	c=5 d=1.00009 t=5701
yong le 	用了	c=1 d=1 t=5125
yong na ge 	用哪個	c=1 d=1 t=142
yong shang 	用上	c=1 d=1 t=5116
yong ta 	用它	c=1 d=1 t=3750
yong ta lai 	用它來	c=1 d=1 t=5264
yong yi ge 	用一個	c=1 d=1 t=4700
yong you 	擁有	c=1 d=1 t=5390
yong yu 	用於	c=4 d=1.02912 t=3174
yong zai 	用在	c=1 d=1.00009 t=1411
yong zai le 	用在了	c=1 d=1 t=9
yong zhe ge 	用這個	c=2 d=1.38098 t=3591
yong zhe ge yang shi 	用這個樣式	c=1 d=1 t=952
yong zhong wen 	用中文	c=4 d=1.00432 t=2923
yong zuo 	用作	c=1 d=1 t=3954
you 	又	c=10 d=2.18444 t=5998
you 	右	c=6 d=2.79305 t=6049
you 	有	c=35 d=1.60194 t=6210
you 	由	c=3 d=1.02627 t=3166
you ba 	有吧	c=0 d=0.1 t=1042
you ben shi 	有本事	c=1 d=1 t=2194
you bian 	右邊	c=3 d=1.91393 t=5688
you bian ba 	右邊吧	c=1 d=1 t=4762
you bian cheng 	又變成	c=1 d=1 t=3789
you bu dui 	有不對	c=1 d=1 t=3609
you bu neng 	又不能	c=2 d=1.00413 t=5772
you bu shao wen ti 	有不少問題	c=1 d=1 t=150
you ce 	右側	c=3 d=1.75451 t=2834
you chang 	又長	c=1 d=1 t=467
you chou 	又臭	c=1 d=1 t=466
you de 	有的	c=1 d=0.29205 t=5594
you de ya 	有的呀	c=1 d=1 t=5595
you dian 	有點	c=10 d=1.31141 t=6273
you dian chang 	有點長	c=1 d=1 t=3047
you dian wang ji le 	有點忘記了	c=1 d=1 t=3868
you dian yi huo 	有點疑惑	c=1 d=1 t=5788
you dong le 	又懂了	c=1 d=1 t=36
you ge 	有個	c=5 d=1.00997 t=5627
you ge hui 	有個會	c=1 d=1 t=2081
you ge ren 	有個人	c=1 d=1 t=3843
you ge zu 	有個組	c=1 d=1 t=1890
you guan de 	有關的	c=1 d=1 t=3757
you hen duo 	有很多	c=1 d=1 t=53
you hua 	優化	c=4 d=1.02601 t=5984
you ji ge 	有幾個	c=1 d=1 t=4923
you jian 	郵件	c=1 d=1 t=5874
you ke neng 	有可能	c=2 d=1 t=5644
you lai 	犹来	c=1 d=1 t=638
you le 	有了	c=0 d=0.1 t=1568
you le ma 	有了嗎	c=1 d=1 t=1569
you liang ge 	有兩個	c=1 d=1 t=2602
you ma 	有嗎	c=1 d=1 t=3556
you mei you 	有沒有	c=10 d=1.37843 t=5592
you mei you ban fa 	有沒有辦法	c=1 d=1 t=55
you mei you fang fa 	有沒有方法	c=1 d=1 t=5545
you mei you wen ti 	有沒有問題	c=1 d=1 t=561
you qi guai de 	有奇怪的	c=1 d=1 t=2303
you quan xian 	有權限	c=1 d=1 t=3488
you ren 	有人	c=2 d=1 t=5938
you sha 	有啥	c=0 d=0.100051 t=6287
you sha huo dong 	有啥活動	c=1 d=1 t=6288
you sha wen ti a 	有啥問題啊	c=1 d=1 t=4771
you shang jiao 	右上角	c=1 d=1 t=6080
you shen me 	有什麼	c=8 d=1.01946 t=6387
you shen me 	有神麼	c=2 d=1.32792 t=286
you shen me ban fa 	有什麼辦法	c=1 d=1 t=4617
you shen me yong 	有什麼用	c=1 d=1 t=5774
you shi 	又是	c=0 d=0.1 t=5544
you shi 	有事	c=1 d=1 t=5820
you shi 	有時	c=2 d=1.00956 t=6053
you shi hou 	有時候	c=0 d=0.1 t=3821
you shi na ge 	又是哪個	c=1 d=1 t=5545
you shu ju 	有數據	c=1 d=1 t=1348
you ti dao 	又提到	c=1 d=1 t=3025
you wen 	又問	c=0 d=0.1 t=3649
you wen le wen 	又問了問	c=1 d=1 t=3650
you wen ti 	有問題	c=4 d=1.00006 t=5432
you xian ji 	優先級	c=2 d=1 t=3376
you xiao guo de 	有效果的	c=1 d=1 t=4001
you xie ren 	有些人	c=1 d=1 t=4016
you xu yao 	又需要	c=1 d=1 t=3474
you ya 	優雅	c=3 d=1 t=5405
you yao 	又要	c=0 d=0.1 t=1648
you yao xie 	又要寫	c=1 d=1 t=1649
you yi 	有一	c=0 d=0.1 t=3032
you yi bian 	有一邊	c=1 d=1 t=3033
you yi chang 	有異常	c=1 d=1 t=5255
you yi ge 	又一個	c=1 d=1 t=2836
you yi ge 	有一個	c=2 d=1.00138 t=5938
you yi tiao 	有一條	c=1 d=1 t=5252
you yi xie 	有一些	c=1 d=1 t=2216
you yi yi 	有意義	c=0 d=0.1 t=1792
you yi zhong 	有一種	c=1 d=1 t=427
you yong 	有用	c=1 d=1 t=5105
you yong de 	有用的	c=1 d=1 t=4881
you yu 	由於	c=1 d=1 t=4851
yu 	與	c=3 d=1.29683 t=2520
yu dao 	遇到	c=2 d=1.10646 t=5908
yu dao guo 	遇到過	c=0 d=0.1 t=2032
yu dao le 	遇到了	c=3 d=1.00034 t=5970
yu fa 	語法	c=1 d=1 t=3051
yu ju 	語句	c=2 d=1.95123 t=3066
yu ming 	域名	c=2 d=1.00019 t=5041
yu ming zhong 	域名中	c=1 d=1 t=3297
yu qi 	與其	c=0 d=0.1 t=6101
yu qi shuo 	與其說	c=1 d=1 t=6061
yu qi ta 	與其他	c=1 d=1 t=6102
yu qi ta 	與其它	c=1 d=1 t=4337
yu yue 	預約	c=1 d=1 t=5683
yuan 	園	c=1 d=1 t=3957
yuan 	圓	c=1 d=1 t=3963
yuan 	遠	c=1 d=1 t=6229
yuan ben 	原本	c=2 d=1 t=5583
yuan dian 	原點	c=1 d=1 t=6227
yuan duan 	遠端	c=2 d=1.95123 t=5141
yuan gu 	緣故	c=2 d=1.00063 t=4099
yuan lai 	原來	c=2 d=1.03096 t=2187
yuan lai de 	原來的	c=2 d=1.0296 t=3661
yuan sheng 	原生	c=1 d=0.196829 t=3808
yuan sheng de 	原生的	c=1 d=1 t=3809
yuan sheng de le 	原生的了	c=1 d=1 t=3801
yuan shi 	原始	c=1 d=1.056 t=1858
yuan shi shang xia wen 	原始上下文	c=1 d=1 t=1859
yuan shu ju 	源數據	c=1 d=1 t=2181
yuan su 	元素	c=1 d=1 t=314
yuan yin 	原因	c=4 d=1.05581 t=5914
yuan yin na 	原因那	c=1 d=1 t=5127
yue 	月	c=5 d=1.00268 t=5916
yue 	約	c=2 d=1.00001 t=5637
yue 	越	c=1 d=1 t=4160
yue chu 	約出	c=0 d=0.112003 t=3976
yue chu lai 	約出來	c=2 d=1.98511 t=3980
yue de 	約的	c=1 d=1 t=3288
yue duo 	越多	c=2 d=1.97531 t=4739
yue fen 	月份	c=1 d=1 t=5502
yue guang 	月光	c=1 d=1 t=6186
yue jia 	越加	c=1 d=1 t=4159
yue lai yue 	越來越	c=1 d=1 t=5888
yue le 	約了	c=1 d=1 t=5678
yue xiao 	越小	c=0 d=0.1 t=4328
yun xing 	運行	c=2 d=1 t=5726
yun xu 	允許	c=2 d=1.84366 t=5873
yun xu yong hu 	允許用戶	c=1 d=1 t=4928
zai 	再	c=24 d=2.74688 t=5517
zai 	在	c=94 d=1.7539 t=6179
zai ben di 	在本地	c=1 d=1 t=5143
zai biao ge 	在表格	c=1 d=0.163609 t=5243
zai biao ge li 	在表格裏	c=1 d=1 t=5244
zai che shang 	在車上	c=0 d=0.1 t=3868
zai de 	在的	c=1 d=1 t=3713
zai dian 	再點	c=0 d=0.199501 t=3824
zai dian ji 	在點擊	c=1 d=1 t=2800
zai dian yi ge 	再點一個	c=1 d=1 t=3825
zai dian yi xia 	再點一下	c=1 d=1 t=3824
zai jia 	再加	c=1 d=1 t=1822
zai jia 	在家	c=0 d=0.1 t=187
zai jia a 	在家啊	c=1 d=1 t=188
zai jia li 	在家裏	c=1 d=1 t=3791
zai kan 	再看	c=1 d=1 t=4285
zai kan ba 	在看吧	c=1 d=1 t=666
zai le 	在了	c=1 d=1 t=2893
zai li mian 	在裡面	c=1 d=0.1 t=4383
zai li mian le 	在裡面了	c=1 d=1 t=4384
zai na er 	在哪兒	c=0 d=0.1 t=132
zai na er mei 	在哪兒沒	c=1 d=1 t=133
zai na li 	在哪裏	c=1 d=1.09005 t=1520
zai na li 	在那裡	c=0 d=0.1 t=5702
zai qi zhong 	在其中	c=0 d=0.1 t=215
zai qi zhong mou yi ge 	在其中某一個	c=1 d=1 t=216
zai ru 	載入	c=1 d=1 t=293
zai shuo 	再說	c=4 d=1.60085 t=5151
zai shuo ba 	再說吧	c=2 d=1 t=4317
zai wai ceng 	在外層	c=1 d=1 t=1813
zai wen 	再問	c=0 d=0.1 t=2954
zai wo 	在我	c=2 d=1.00018 t=2223
zai xiang 	在想	c=0 d=0.1 t=4473
zai xuan ze 	再選擇	c=1 d=1 t=5516
zai yong de 	在用的	c=1 d=1 t=3678
zai you 	再有	c=1 d=1 t=1989
zai zhe 	在這	c=0 d=0.1 t=314
zai zhe li 	在這裏	c=2 d=1.97045 t=1077
zai zhe li mian 	在這裏面	c=1 d=1 t=315
zai zuo 	在做	c=1 d=1 t=5555
zan cheng 	贊成	c=1 d=1 t=3140
zan lia 	咱倆	c=0 d=0.1 t=3855
zan men 	咱們	c=2 d=1 t=4818
zan shi 	暫時	c=2 d=1.00004 t=2800
zan shi bu 	暫時不	c=0 d=0.1 t=3984
zan shi bu wan 	暫時不玩	c=1 d=1 t=3985
zan ting 	暫停	c=0 d=0.1 t=105
zan ting gong neng 	暫停功能	c=1 d=1 t=106
zao cheng 	造成	c=1 d=1 t=898
zao jiu 	早就	c=1 d=1 t=3990
zao shang 	早上	c=0 d=0.1 t=4010
zao shang de 	早上的	c=1 d=1 t=4011
ze 	則	c=6 d=2.10854 t=5799
ze shi 	則是	c=1 d=1 t=4386
zei qiang 	賊強	c=1 d=1 t=3073
zen me 	怎麼	c=21 d=1.13114 t=6230
zen me ban 	怎麼辦	c=1 d=1 t=6131
zen me gai 	怎麼改	c=1 d=1 t=5630
zen me hui shi 	怎麼回事	c=2 d=1 t=6270
zen me li jie 	怎麼理解	c=1 d=1 t=1847
zen me shan 	怎麼刪	c=1 d=1 t=82
zen me xie 	怎麼寫	c=1 d=1 t=6018
zen me xiu 	怎麼修	c=1 d=1 t=207
zen me xuan 	怎麼選	c=1 d=1 t=1547
zen me yang 	怎麼樣	c=1 d=1 t=3958
zen me yong 	怎麼用	c=1 d=1 t=5978
zen me yong de 	怎麼用的	c=1 d=1 t=5766
zen me zuo 	怎麼做	c=0 d=0.1 t=4683
zen me zuo de 	怎麼做的	c=1 d=1 t=4684
zen yang 	怎樣	c=2 d=1 t=5731
zen yang de 	怎樣的	c=0 d=0.1 t=5498
zeng jia 	增加	c=4 d=1.99172 t=3071
zha pian 	詐騙	c=1 d=1 t=4826
zha yan 	扎眼	c=1 d=1 t=5058
zhai 	窄	c=0 d=0.1 t=4758
zhai yi dian 	窄一點	c=1 d=1 t=4759
zhan bi 	佔比	c=1 d=1 t=5187
zhan ju 	佔據	c=1 d=1 t=3555
zhan kai 	展開	c=21 d=1.95131 t=5624
zhan kai lai 	展開來	c=1 d=1 t=4764
zhan kai shi 	展開時	c=4 d=1.3296 t=5858
zhan man 	佔滿	c=2 d=1 t=4701
zhan shi 	展示	c=38 d=4.93986 t=5866
